freq,Reach,Date
0,Upper Spring Run,8/28/2000
0,Upper Spring Run,8/28/2000
0,Upper Spring Run,8/28/2000
0,Upper Spring Run,8/28/2000
0,Upper Spring Run,8/28/2000
0,Upper Spring Run,8/28/2000
0,Landa Lake,8/29/2000
0,Landa Lake,8/29/2000
4,Landa Lake,8/29/2000
1,Landa Lake,8/29/2000
26,Landa Lake,8/29/2000
53,Landa Lake,8/29/2000
29,Landa Lake,8/29/2000
9,Landa Lake,8/29/2000
2,Landa Lake,8/29/2000
54,Landa Lake,8/29/2000
0,Upper New Channel Reach,8/30/2000
0,Upper New Channel Reach,8/30/2000
0,Upper New Channel Reach,8/30/2000
12,Upper New Channel Reach,8/30/2000
2,Upper New Channel Reach,8/30/2000
2,Upper New Channel Reach,8/30/2000
2,Upper New Channel Reach,8/30/2000
0,Old Channel Reach,8/31/2000
0,Old Channel Reach,8/31/2000
0,Old Channel Reach,8/31/2000
11,Old Channel Reach,8/31/2000
64,Old Channel Reach,8/31/2000
12,Old Channel Reach,8/31/2000
0,Upper Spring Run,9/11/2000
0,Upper Spring Run,9/11/2000
0,Upper Spring Run,9/11/2000
0,Upper Spring Run,9/11/2000
0,Upper Spring Run,9/11/2000
0,Upper Spring Run,9/11/2000
0,Landa Lake,9/12/2000
1,Landa Lake,9/12/2000
1,Landa Lake,9/12/2000
9,Landa Lake,9/12/2000
6,Landa Lake,9/12/2000
47,Landa Lake,9/12/2000
29,Landa Lake,9/12/2000
6,Landa Lake,9/12/2000
9,Landa Lake,9/12/2000
1,Landa Lake,9/12/2000
0,Old Channel Reach,9/13/2000
3,Old Channel Reach,9/13/2000
53,Old Channel Reach,9/13/2000
85,Old Channel Reach,9/13/2000
3,Old Channel Reach,9/13/2000
11,Old Channel Reach,9/13/2000
0,Upper New Channel Reach,9/14/2000
0,Upper New Channel Reach,9/14/2000
0,Upper New Channel Reach,9/14/2000
5,Upper New Channel Reach,9/14/2000
1,Upper New Channel Reach,9/14/2000
1,Upper New Channel Reach,9/14/2000
0,Upper Spring Run,11/13/2000
0,Upper Spring Run,11/13/2000
0,Upper Spring Run,11/13/2000
0,Upper Spring Run,11/13/2000
